Glyph Name,Master A,Master A LSB,Master A RSB,Master A Adv Width,Master B,Master B LSB,Master B RSB,Master B Advance Width,Match?
quotedbl,x1y1t1-min,35.0,35.0,131,x1y1000t1-min,35.0,35.0,131,Yes
quotesingle,x1y1t1-min,35,37,74,x1y1000t1-min,35,37,74,Yes
ampersand,x1y1t1-min,10,0,326,x1y1000t1-min,10,0,326,Yes
at,x1y1t1-min,31,31,265,x1y1000t1-min,31,31,265,Yes
copyright,x1y1t1-min,0,400,400,x1y1000t1-min,0,400,400,Yes
registered,x1y1t1-min,0,400,400,x1y1000t1-min,0,400,400,Yes
trademark,x1y1t1-min,0.0,35.0,358,x1y1000t1-min,0.0,35.0,358,Yes
degree,x1y1t1-min,0,400,400,x1y1000t1-min,0,400,400,Yes
bar,x1y1t1-min,47,47,96,x1y1000t1-min,47,47,96,Yes
cent,x1y1t1-min,31.0,12.0,120,x1y1000t1-min,31.0,12.0,120,Yes
dollar,x1y1t1-min,29.0,29.0,155,x1y1000t1-min,29.0,29.0,155,Yes
euro,x1y1t1-min,29,25,200,x1y1000t1-min,29,225,400,No
sterling,x1y1t1-min,29,26,200,x1y1000t1-min,29,15,189,No
yen,x1y1t1-min,0,400,400,x1y1000t1-min,0,400,400,Yes
plus,x1y1t1-min,18,18,186,x1y1000t1-min,18,18,186,Yes
minus,x1y1t1-min,12,12,231,x1y1000t1-min,12,12,231,Yes
multiply,x1y1t1-min,0,400,400,x1y1000t1-min,0,400,400,Yes
divide,x1y1t1-min,0,400,400,x1y1000t1-min,0,400,400,Yes
equal,x1y1t1-min,12.0,12.0,231,x1y1000t1-min,12.0,12.0,231,Yes
greater,x1y1t1-min,25,30,150,x1y1000t1-min,-19,30,150,No
less,x1y1t1-min,0,400,400,x1y1000t1-min,0,400,400,Yes
asciitilde,x1y1t1-min,0,1200,1200,x1y1000t1-min,0,1200,1200,Yes
asciicircum,x1y1t1-min,0,1200,1200,x1y1000t1-min,0,1200,1200,Yes
percent,x1y1t1-min,0,400,400,x1y1000t1-min,0,400,400,Yes
grave,x1y1t1-min,0,43,43,x1y1000t1-min,0,43,43,Yes
